name,description,province
Thác Bản Giốc,"Nằm ở huyện Trùng Khánh, tỉnh Cao Bằng, cách thành phố Cao Bằng khoảng 90km. Là thác nước tự nhiên lớn nhất Đông Nam Á, nằm trên biên giới Việt-Trung.",Cao Bằng
Hồ Ba Bể,"Nằm ở huyện Ba Bể, tỉnh Bắc Kạn, cách Hà Nội khoảng 240km về phía bắc. Là hồ nước ngọt tự nhiên lớn nhất Việt Nam.",Bắc Kạn
Tràng An,"Nằm ở huyện Hoa Lư, tỉnh Ninh Bình, cách Hà Nội khoảng 90km về phía nam. Khu du lịch sinh thái nổi tiếng với cảnh quan núi đá vôi và sông nước hùng vĩ.",Ninh Bình
Đảo Lý Sơn,"Nằm cách đất liền khoảng 15 hải lý về phía đông, thuộc tỉnh Quảng Ngãi. Nổi tiếng với cảnh quan biển đảo đẹp và đặc sản tỏi.",Quảng Ngãi
Côn Đảo,"Quần đảo nằm cách Vũng Tàu khoảng 230km về phía đông nam. Nổi tiếng với các bãi biển đẹp, rừng nguyên sinh và di tích lịch sử nhà tù Côn Đảo.",Bà Rịa - Vũng Tàu
Hang Sơn Đoòng,"Nằm trong Vườn Quốc gia Phong Nha-Kẻ Bàng, cách thành phố Đồng Hới khoảng 70km về phía tây bắc. Được coi là hang động lớn nhất thế giới.",Quảng Bình
Đảo Phú Quý,"Nằm cách Phan Thiết khoảng 120km về phía đông nam. Là một hòn đảo hoang sơ với nhiều bãi biển đẹp và làng chài truyền thống.",Bình Thuận
Thác Đray Nur,"Nằm ở xã Dray Sáp, huyện Krông Ana, cách thành phố Buôn Ma Thuột khoảng 25km về phía tây nam. Là một trong những thác nước đẹp nhất Tây Nguyên.",Đắk Lắk
Vườn quốc gia Cát Tiên,"Nằm trên địa phận 3 tỉnh Đồng Nai, Lâm Đồng và Bình Phước, cách TP.HCM khoảng 150km về phía bắc. Là khu bảo tồn thiên nhiên quan trọng ở miền Nam Việt Nam.",Đồng Nai
Bãi biển Hồ Cốc,"Nằm ở huyện Xuyên Mộc, tỉnh Bà Rịa - Vũng Tàu, cách TP.HCM khoảng 150km về phía đông nam. Nổi tiếng với bãi biển hoang sơ và rừng nguyên sinh.",Bà Rịa - Vũng Tàu
Hồ Tuyền Lâm,"Nằm cách trung tâm thành phố Đà Lạt khoảng 5km về phía nam. Là hồ nước ngọt nhân tạo lớn nhất Đà Lạt, nổi tiếng với cảnh quan thiên nhiên tuyệt đẹp.",Lâm Đồng
Cù Lao Xanh,"Nằm cách thành phố Quy Nhơn khoảng 24km về phía đông. Là hòn đảo nhỏ với bãi biển hoang sơ và làng chài yên bình.",Bình Định
Thác Bạc,"Nằm ở xã San Sả Hồ, huyện Sa Pa, cách thị trấn Sa Pa khoảng 12km về phía tây nam. Là một trong những thác nước đẹp nhất vùng Tây Bắc.",Lào Cai
Đền Hùng,"Nằm trên núi Nghĩa Lĩnh, thuộc xã Hy Cương, thành phố Việt Trì, cách Hà Nội khoảng 100km về phía tây bắc. Là di tích lịch sử quan trọng gắn liền với nguồn gốc dân tộc Việt Nam.",Phú Thọ
Đảo Bình Ba,"Nằm trong vịnh Cam Ranh, cách thành phố Nha Trang khoảng 60km về phía nam. Nổi tiếng với các bãi biển đẹp và hải sản tươi ngon.",Khánh Hòa
Hang Sơn Đoòng,"Nằm trong Vườn Quốc gia Phong Nha-Kẻ Bàng, cách thành phố Đồng Hới khoảng 70km về phía tây bắc. Được coi là hang động lớn nhất thế giới.",Quảng Bình
Đảo Phú Quý,"Nằm cách Phan Thiết khoảng 120km về phía đông nam. Là một hòn đảo hoang sơ với nhiều bãi biển đẹp và làng chài truyền thống.",Bình Thuận
Thác Đray Nur,"Nằm ở xã Dray Sáp, huyện Krông Ana, cách thành phố Buôn Ma Thuột khoảng 25km về phía tây nam. Là một trong những thác nước đẹp nhất Tây Nguyên.",Đắk Lắk
Vườn quốc gia Cát Tiên,"Nằm trên địa phận 3 tỉnh Đồng Nai, Lâm Đồng và Bình Phước, cách TP.HCM khoảng 150km về phía bắc. Là khu bảo tồn thiên nhiên quan trọng ở miền Nam Việt Nam.",Đồng Nai
Bãi biển Hồ Cốc,"Nằm ở huyện Xuyên Mộc, tỉnh Bà Rịa - Vũng Tàu, cách TP.HCM khoảng 150km về phía đông nam. Nổi tiếng với bãi biển hoang sơ và rừng nguyên sinh.",Bà Rịa - Vũng Tàu
Hồ Tuyền Lâm,"Nằm cách trung tâm thành phố Đà Lạt khoảng 5km về phía nam. Là hồ nước ngọt nhân tạo lớn nhất Đà Lạt, nổi tiếng với cảnh quan thiên nhiên tuyệt đẹp.",Lâm Đồng
Cù Lao Xanh,"Nằm cách thành phố Quy Nhơn khoảng 24km về phía đông. Là hòn đảo nhỏ với bãi biển hoang sơ và làng chài yên bình.",Bình Định
Thác Bạc,"Nằm ở xã San Sả Hồ, huyện Sa Pa, cách thị trấn Sa Pa khoảng 12km về phía tây nam. Là một trong những thác nước đẹp nhất vùng Tây Bắc.",Lào Cai
Đền Hùng,"Nằm trên núi Nghĩa Lĩnh, thuộc xã Hy Cương, thành phố Việt Trì, cách Hà Nội khoảng 100km về phía tây bắc. Là di tích lịch sử quan trọng gắn liền với nguồn gốc dân tộc Việt Nam.",Phú Thọ
Đảo Bình Ba,"Nằm trong vịnh Cam Ranh, cách thành phố Nha Trang khoảng 60km về phía nam. Nổi tiếng với các bãi biển đẹp và hải sản tươi ngon.",Khánh Hòa
Đảo Cô Tô,"Nằm cách đất liền khoảng 80km về phía đông, thuộc tỉnh Quảng Ninh. Nổi tiếng với các bãi biển cát trắng và nước trong xanh.",Quảng Ninh
Thành nhà Hồ,"Nằm ở xã Vĩnh Lộc, huyện Vĩnh Lộc, cách thành phố Thanh Hóa khoảng 50km về phía tây. Là di tích lịch sử quan trọng được UNESCO công nhận là Di sản Thế giới.",Thanh Hóa
Địa đạo Củ Chi,"Nằm ở huyện Củ Chi, cách trung tâm TP.HCM khoảng 70km về phía tây bắc. Là hệ thống đường hầm nổi tiếng được sử dụng trong chiến tranh Việt Nam.",TP.HCM
Núi Bà Đen,"Nằm ở thành phố Tây Ninh, cách TP.HCM khoảng 100km về phía tây bắc. Là ngọn núi cao nhất Nam Bộ, nổi tiếng với khu du lịch và chùa chiền.",Tây Ninh
Vườn quốc gia Bạch Mã,"Nằm trên địa phận tỉnh Thừa Thiên Huế, cách thành phố Huế khoảng 40km về phía nam. Nổi tiếng với hệ sinh thái đa dạng và cảnh quan thiên nhiên tuyệt đẹp.",Thừa Thiên Huế
Đảo Ngọc Vừng,"Nằm trong vịnh Bái Tử Long, cách thành phố Hạ Long khoảng 40km về phía đông. Là hòn đảo hoang sơ với nhiều bãi biển đẹp.",Quảng Ninh
Hồ Lắk,"Nằm ở huyện Lắk, cách thành phố Buôn Ma Thuột khoảng 56km về phía nam. Là hồ nước ngọt tự nhiên lớn thứ hai Tây Nguyên, nổi tiếng với cảnh quan đẹp và văn hóa các dân tộc thiểu số.",Đắk Lắk
Đảo Hòn Sơn,"Nằm cách thành phố Rạch Giá khoảng 65km về phía tây nam. Là hòn đảo còn hoang sơ với nhiều bãi biển đẹp và núi non hùng vĩ.",Kiên Giang
Thác Dray Sáp,"Nằm ở xã Dray Sáp, huyện Krông Ana, cách thành phố Buôn Ma Thuột khoảng 30km về phía tây nam. Là một trong những thác nước đẹp nhất Tây Nguyên.",Đắk Lắk
Chùa Bái Đính,"Nằm ở huyện Gia Viễn, tỉnh Ninh Bình, cách Hà Nội khoảng 95km về phía nam. Là quần thể chùa lớn nhất Đông Nam Á với nhiều kỷ lục Việt Nam và châu Á.",Ninh Bình
Đảo Nam Du,"Quần đảo nằm cách thành phố Rạch Giá khoảng 120km về phía tây nam. Nổi tiếng với các bãi biển hoang sơ và làng chài yên bình.",Kiên Giang
Thác Pongour,"Nằm ở xã Ninh Gia, huyện Đức Trọng, cách thành phố Đà Lạt khoảng 50km về phía nam. Được mệnh danh là Nam thiên đệ nhất thác (thác đẹp nhất phương Nam).",Lâm Đồng
Đảo Bình Hưng,"Nằm trong vịnh Cam Ranh, cách thành phố Nha Trang khoảng 60km về phía nam. Nổi tiếng với bãi biển đẹp và hải sản tươi ngon.",Khánh Hòa
Khu du lịch Tam Đảo,"Nằm trên dãy núi Tam Đảo, thuộc tỉnh Vĩnh Phúc, cách Hà Nội khoảng 80km về phía tây bắc. Nổi tiếng với khí hậu mát mẻ và cảnh quan thiên nhiên đẹp.",Vĩnh Phúc
Vườn quốc gia Yok Đôn,"Nằm trên địa phận hai tỉnh Đắk Lắk và Đắk Nông, cách thành phố Buôn Ma Thuột khoảng 40km về phía tây. Là khu bảo tồn thiên nhiên lớn nhất Việt Nam.",Đắk Lắk
Đảo Thổ Chu,"Nằm cách đất liền khoảng 220km về phía tây nam, thuộc tỉnh Kiên Giang. Là quần đảo xa đất liền nhất của Việt Nam, nổi tiếng với biển đẹp và hải sản phong phú.",Kiên Giang
Vịnh Vĩnh Hy,"Nằm ở huyện Ninh Hải, cách thành phố Phan Rang - Tháp Chàm khoảng 45km về phía bắc. Được mệnh danh là vịnh đẹp nhất Việt Nam với nước biển trong xanh và những rạn san hô đẹp.",Ninh Thuận
Hồ Thác Bà,"Nằm ở huyện Yên Bình, tỉnh Yên Bái, cách Hà Nội khoảng 170km về phía tây bắc. Là hồ nhân tạo lớn thứ ba Việt Nam, nổi tiếng với cảnh quan đẹp và đa dạng sinh học.",Yên Bái
Cù Lao Câu,"Nằm cách thành phố Phan Thiết khoảng 110km về phía đông bắc. Là hòn đảo nhỏ với bãi biển hoang sơ và các rạn san hô đẹp.",Bình Thuận
Đảo Cồn Cỏ,"Nằm cách đất liền khoảng 30km về phía đông, thuộc tỉnh Quảng Trị. Là đảo tiền tiêu của Tổ quốc, nổi tiếng với biển đẹp và hệ sinh thái biển phong phú.",Quảng Trị
Đèo Hải Vân,"Nằm giữa Đà Nẵng và Thừa Thiên Huế, cách trung tâm Đà Nẵng khoảng 20km về phía bắc. Được mệnh danh là 'thiên hạ đệ nhất hùng quan' với cảnh quan hùng vĩ.",Đà Nẵng và Thừa Thiên Huế
Vườn quốc gia Pù Mát,"Nằm ở huyện Con Cuông, tỉnh Nghệ An, cách thành phố Vinh khoảng 120km về phía tây. Là khu bảo tồn thiên nhiên quan trọng với hệ động thực vật phong phú.",Nghệ An
Đảo Bà Lụa,"Quần đảo nằm ở huyện Kiên Lương, cách thành phố Rạch Giá khoảng 60km về phía tây bắc. Gồm 45 hòn đảo lớn nhỏ với nhiều bãi biển hoang sơ.",Kiên Giang
Thác Đambri,"Nằm ở xã Đạ Sar, huyện Lạc Dương, cách thành phố Bảo Lộc khoảng 18km. Là thác nước cao nhất tỉnh Lâm Đồng, nổi tiếng với cảnh quan hùng vĩ.",Lâm Đồng
Vịnh Xuân Đài,"Nằm ở thị xã Sông Cầu, tỉnh Phú Yên, cách thành phố Tuy Hòa khoảng 50km về phía bắc. Nổi tiếng với cảnh quan đẹp và các đầm nuôi tôm hùm.",Phú Yên
Hang Én,"Nằm trong Vườn Quốc gia Phong Nha-Kẻ Bàng, cách thành phố Đồng Hới khoảng 80km về phía tây bắc. Là hang động lớn thứ ba thế giới.",Quảng Bình
Đảo Hòn Khoai,"Nằm cách mũi Cà Mau khoảng 15km về phía đông nam. Là hòn đảo đẹp với ngọn hải đăng cổ và bãi biển hoang sơ.",Cà Mau
Hồ Núi Cốc,"Nằm ở huyện Đại Từ, cách thành phố Thái Nguyên khoảng 25km về phía tây bắc. Là hồ nhân tạo đẹp với nhiều hòn đảo nhỏ và truyền thuyết lãng mạn.",Thái Nguyên
Đảo Điệp Sơn,"Nằm trong vịnh Vân Phong, cách thành phố Nha Trang khoảng 80km về phía bắc. Nổi tiếng với con đường đi bộ giữa biển độc đáo.",Khánh Hòa
Thác Bản Giốc,"Nằm ở xã Đàm Thủy, huyện Trùng Khánh, cách thành phố Cao Bằng khoảng 90km. Là thác nước đẹp nằm trên biên giới Việt-Trung.",Cao Bằng
Đảo Lý Sơn,"Nằm cách đất liền khoảng 15 hải lý về phía đông, thuộc tỉnh Quảng Ngãi. Nổi tiếng với cảnh quan biển đảo đẹp và đặc sản tỏi.",Quảng Ngãi
Núi Bà Đen,"Nằm ở thành phố Tây Ninh, cách TP.HCM khoảng 100km về phía tây bắc. Là ngọn núi cao nhất Nam Bộ, nổi tiếng với khu du lịch và chùa chiền.",Tây Ninh
Hồ Tà Đùng,"Nằm ở huyện Đắk G'long, cách thành phố Gia Nghĩa khoảng 40km về phía đông nam. Được mệnh danh là 'Vịnh Hạ Long của Tây Nguyên'.",Đắk Nông
Đảo Cái Chiên,"Nằm ở huyện Hải Hà, cách thành phố Móng Cái khoảng 50km về phía đông nam. Là hòn đảo lớn nhất tỉnh Quảng Ninh với nhiều bãi biển đẹp.",Quảng Ninh
Khu bảo tồn thiên nhiên Pù Luông,"Nằm giữa hai huyện Bá Thước và Quan Hóa, cách thành phố Thanh Hóa khoảng 130km về phía tây bắc. Nổi tiếng với cảnh quan thiên nhiên đẹp và văn hóa dân tộc thiểu số.",Thanh Hóa
Đảo Bình Hưng,"Nằm trong vịnh Cam Ranh, cách thành phố Nha Trang khoảng 60km về phía nam. Nổi tiếng với bãi biển đẹp và hải sản tươi ngon.",Khánh Hòa
Thác Đray Nur,"Nằm ở xã Dray Sáp, huyện Krông Ana, cách thành phố Buôn Ma Thuột khoảng 25km về phía tây nam. Là một trong những thác nước đẹp nhất Tây Nguyên.",Đắk Lắk
Hồ Trị An,"Nằm ở huyện Vĩnh Cửu, cách TP.HCM khoảng 70km về phía đông bắc. Là hồ nhân tạo lớn với cảnh quan đẹp và nhiều hoạt động giải trí.",Đồng Nai
Đảo Quan Lạn,"Nằm trong vịnh Bái Tử Long, cách thành phố Hạ Long khoảng 55km về phía đông. Nổi tiếng với bãi biển cát trắng dài và làng chài yên bình.",Quảng Ninh
Thác Mơ,"Nằm ở xã Xuân Tâm, huyện Xuân Lộc, cách TP.HCM khoảng 150km về phía đông bắc. Là thác nước đẹp với nhiều tầng cao khác nhau.",Đồng Nai
Đảo Cô Tô Con,"Nằm cách đảo Cô Tô khoảng 1km về phía đông nam, thuộc huyện Cô Tô. Nổi tiếng với bãi cát trắng mịn và nước biển trong xanh.",Quảng Ninh
Thác Datanla,"Nằm cách trung tâm thành phố Đà Lạt khoảng 5km về phía nam. Là thác nước đẹp với nhiều trò chơi mạo hiểm.",Lâm Đồng
Vườn quốc gia Bù Gia Mập,"Nằm ở huyện Bù Gia Mập, cách TP.HCM khoảng 200km về phía đông bắc. Là khu bảo tồn thiên nhiên quan trọng với hệ động thực vật phong phú.",Bình Phước
Đảo Bình Ba,"Nằm trong vịnh Cam Ranh, cách thành phố Nha Trang khoảng 60km về phía nam. Nổi tiếng với các bãi biển đẹp và hải sản tươi ngon.",Khánh Hòa
Hồ Đại Lải,"Nằm ở huyện Phúc Yên, cách Hà Nội khoảng 50km về phía bắc. Là hồ nhân tạo đẹp với nhiều khu resort và hoạt động giải trí.",Vĩnh Phúc
Thác Bảo Đại,"Nằm ở xã Đạ Nhim, huyện Lạc Dương, cách thành phố Đà Lạt khoảng 15km về phía đông bắc. Là thác nước đẹp gắn liền với truyền thuyết về vua Bảo Đại.",Lâm Đồng
Đảo Hòn Mun,"Nằm trong Vịnh Nha Trang, cách thành phố Nha Trang khoảng 10km về phía đông nam. Nổi tiếng với các rạn san hô đẹp và hoạt động lặn biển.",Khánh Hòa
Vườn quốc gia Bidoup Núi Bà,"Nằm ở huyện Lạc Dương và Đam Rông, cách thành phố Đà Lạt khoảng 50km về phía đông bắc. Là khu bảo tồn thiên nhiên quan trọng với nhiều loài động thực vật quý hiếm.",Lâm Đồng
Đảo Hòn Tre,"Nằm trong Vịnh Nha Trang, cách thành phố Nha Trang khoảng 3km về phía đông. Nổi tiếng với khu nghỉ dưỡng Vinpearl và công viên giải trí.",Khánh Hòa
Thác Dray Nur,"Nằm ở xã Dur KNol, huyện Krông Ana, cách thành phố Buôn Ma Thuột khoảng 25km về phía tây nam. Là một trong những thác nước đẹp nhất Tây Nguyên.",Đắk Lắk
Núi Chúa,"Nằm ở huyện Ninh Hải, cách thành phố Phan Rang - Tháp Chàm khoảng 40km về phía đông bắc. Là vườn quốc gia với hệ sinh thái đa dạng và bãi biển đẹp.",Ninh Thuận
Đảo Phú Quý,"Nằm cách Phan Thiết khoảng 120km về phía đông nam. Là một hòn đảo hoang sơ với nhiều bãi biển đẹp và làng chài truyền thống.",Bình Thuận
Thác Prenn,"Nằm cách trung tâm thành phố Đà Lạt khoảng 10km về phía nam. Là thác nước đẹp với khu du lịch sinh thái xung quanh.",Lâm Đồng
Hồ Tuyền Lâm,"Nằm cách trung tâm thành phố Đà Lạt khoảng 5km về phía nam. Là hồ nước ngọt nhân tạo lớn nhất Đà Lạt, nổi tiếng với cảnh quan thiên nhiên tuyệt đẹp.",Lâm Đồng
Đảo Thổ Chu,"Nằm cách đất liền khoảng 220km về phía tây nam, thuộc tỉnh Kiên Giang. Là quần đảo xa đất liền nhất của Việt Nam, nổi tiếng với biển đẹp và hải sản phong phú.",Kiên Giang
Vườn quốc gia Cúc Phương,"Nằm trên địa phận 3 tỉnh Ninh Bình, Hòa Bình và Thanh Hóa, cách Hà Nội khoảng 120km về phía nam. Là vườn quốc gia đầu tiên của Việt Nam với hệ động thực vật phong phú.",Ninh Bình
Đảo Cồn Cỏ,"Nằm cách đất liền khoảng 30km về phía đông, thuộc tỉnh Quảng Trị. Là đảo tiền tiêu của Tổ quốc, nổi tiếng với biển đẹp và hệ sinh thái biển phong phú.",Quảng Trị
Thác Đắk G'lun,"Nằm ở xã Đắk G'lun, huyện Đắk Min, cách thành phố Gia Nghĩa khoảng 25km về phía tây nam. Là thác nước đẹp với cảnh quan hoang sơ.",Đắk Nông
Hồ Dầu Tiếng,"Nằm trên địa phận 3 tỉnh Tây Ninh, Bình Dương và Bình Phước, cách TP.HCM khoảng 90km về phía tây bắc. Là hồ nhân tạo lớn nhất Việt Nam.",Tây Ninh
Đảo Cù Lao Xanh,"Nằm cách thành phố Quy Nhơn khoảng 24km về phía đông. Là hòn đảo nhỏ với bãi biển hoang sơ và làng chài yên bình.",Bình Định
Vườn quốc gia Xuân Thủy,"Nằm ở huyện Giao Thủy, cách thành phố Nam Định khoảng 50km về phía đông. Là vườn quốc gia đầu tiên của Việt Nam được công nhận là khu Ramsar.",Nam Định
Đảo Ngọc Vừng,"Nằm trong vịnh Bái Tử Long, cách thành phố Hạ Long khoảng 40km về phía đông. Là hòn đảo hoang sơ với nhiều bãi biển đẹp.",Quảng Ninh
Thác Đắk Buk So,"Nằm ở xã Nam Xuân, huyện Krông Nô, cách thành phố Gia Nghĩa khoảng 30km về phía bắc. Là thác nước đẹp với cảnh quan hoang sơ.",Đắk Nông
Hồ Ea Kao,"Nằm ở phường Ea Kao, thành phố Buôn Ma Thuột. Là hồ nước ngọt lớn với cảnh quan đẹp, nổi tiếng với lễ hội đua thuyền.",Đắk Lắk
Đảo Hòn Nghệ,"Nằm cách thành phố Rạch Giá khoảng 60km về phía tây nam. Là hòn đảo hoang sơ với nhiều bãi biển đẹp và làng chài yên bình.",Kiên Giang
Vườn quốc gia Bến En,"Nằm ở huyện Như Thanh, cách thành phố Thanh Hóa khoảng 45km về phía tây nam. Là khu bảo tồn thiên nhiên quan trọng với hồ nước lớn và rừng nguyên sinh.",Thanh Hóa
Thác Bản Giốc,"Nằm ở xã Đàm Thủy, huyện Trùng Khánh, cách thành phố Cao Bằng khoảng 90km. Là thác nước đẹp nằm trên biên giới Việt-Trung.",Cao Bằng
Đảo Hòn Lớn,"Nằm trong vịnh Vân Phong, cách thành phố Nha Trang khoảng 60km về phía bắc. Là hòn đảo lớn nhất trong vịnh với nhiều bãi biển đẹp.",Khánh Hòa
Hồ Thác Bà,"Nằm ở huyện Yên Bình, cách thành phố Yên Bái khoảng 70km về phía đông. Là hồ nhân tạo lớn với cảnh quan đẹp và đa dạng sinh học.",Yên Bái
Đảo Bình Hưng,"Nằm trong vịnh Cam Ranh, cách thành phố Nha Trang khoảng 60km về phía nam. Nổi tiếng với bãi biển đẹp và hải sản tươi ngon.",Khánh Hòa
Vườn quốc gia Tràm Chim,"Nằm ở huyện Tam Nông, cách thành phố Cao Lãnh khoảng 40km về phía bắc. Là khu Ramsar với hệ sinh thái đồng bằng sông Cửu Long đặc trưng.",Đồng Tháp
Đảo Cái Chiên,"Nằm ở huyện Hải Hà, cách thành phố Móng Cái khoảng 50km về phía đông nam. Là hòn đảo lớn nhất tỉnh Quảng Ninh với nhiều bãi biển đẹp.",Quảng Ninh
Thác Hang Én,"Nằm trong Vườn Quốc gia Phong Nha-Kẻ Bàng, cách thành phố Đồng Hới khoảng 80km về phía tây bắc. Là thác nước đẹp gần cửa hang Én.",Quảng Bình
Hồ Pa Khoang,"Nằm ở xã Mường Phăng, huyện Điện Biên, cách thành phố Điện Biên Phủ khoảng 20km về phía tây bắc. Là hồ nước đẹp với cảnh quan núi rừng xung quanh.",Điện Biên
Đảo Bé (An Bình),"Nằm cách đảo Lý Sơn khoảng 3km về phía đông, thuộc huyện Lý Sơn. Là hòn đảo nhỏ với bãi biển đẹp và làng chài yên bình.",Quảng Ngãi
Vườn quốc gia Mũi Cà Mau,"Nằm ở huyện Ngọc Hiển, cách thành phố Cà Mau khoảng 100km về phía tây nam. Là điểm cực nam của Tổ quốc với hệ sinh thái rừng ngập mặn đặc trưng.",Cà Mau
Thác Đăk Glong,"Nằm ở xã Quảng Sơn, huyện Đắk Glong, cách thành phố Gia Nghĩa khoảng 70km về phía đông nam. Là thác nước đẹp với cảnh quan hoang sơ.",Đắk Nông
Đảo Hòn Khoai,"Nằm cách mũi Cà Mau khoảng 15km về phía đông nam. Là hòn đảo đẹp với ngọn hải đăng cổ và bãi biển hoang sơ.",Cà Mau
Hồ Lắk,"Nằm ở huyện Lắk, cách thành phố Buôn Ma Thuột khoảng 56km về phía nam. Là hồ nước ngọt tự nhiên lớn thứ hai Tây Nguyên, nổi tiếng với cảnh quan đẹp và văn hóa các dân tộc thiểu số.",Đắk Lắk
Đảo Cù Lao Chàm,"Nằm cách Hội An khoảng 15km về phía đông, gồm nhóm 8 đảo nhỏ. Nổi tiếng với các rạn san hô đẹp và hoạt động lặn biển.",Quảng Nam
Vườn quốc gia Côn Đảo,"Nằm ở huyện Côn Đảo, cách Vũng Tàu khoảng 230km về phía đông nam. Bao gồm 16 hòn đảo với hệ sinh thái biển phong phú và di tích lịch sử nhà tù Côn Đảo.",Bà Rịa - Vũng Tàu
Đảo Bạch Long Vĩ,"Nằm giữa vịnh Bắc Bộ, cách Hải Phòng khoảng 130km về phía đông. Là đảo tiền tiêu với vị trí chiến lược quan trọng.",Hải Phòng
Thác Bản Giốc,"Nằm ở xã Đàm Thủy, huyện Trùng Khánh, cách thành phố Cao Bằng khoảng 90km. Là thác nước đẹp nằm trên biên giới Việt-Trung.",Cao Bằng
Hồ Núi Cốc,"Nằm ở huyện Đại Từ, cách thành phố Thái Nguyên khoảng 25km về phía tây bắc. Là hồ nhân tạo đẹp với nhiều hòn đảo nhỏ và truyền thuyết lãng mạn.",Thái Nguyên
Đảo Điệp Sơn,"Nằm trong vịnh Vân Phong, cách thành phố Nha Trang khoảng 80km về phía bắc. Nổi tiếng với con đường đi bộ giữa biển độc đáo.",Khánh Hòa
Vườn quốc gia Bidoup Núi Bà,"Nằm ở huyện Lạc Dương và Đam Rông, cách thành phố Đà Lạt khoảng 50km về phía đông bắc. Là khu bảo tồn thiên nhiên quan trọng với nhiều loài động thực vật quý hiếm.",Lâm Đồng
Thác Đray Sáp,"Nằm ở xã Dray Sáp, huyện Krông Ana, cách thành phố Buôn Ma Thuột khoảng 30km về phía tây nam. Là một trong những thác nước đẹp nhất Tây Nguyên.",Đắk Lắk
Đảo Hòn Tre,"Nằm trong Vịnh Nha Trang, cách thành phố Nha Trang khoảng 3km về phía đông. Nổi tiếng với khu nghỉ dưỡng Vinpearl và công viên giải trí.",Khánh Hòa
Hồ Tà Đùng,"Nằm ở huyện Đắk G'long, cách thành phố Gia Nghĩa khoảng 40km về phía đông nam. Được mệnh danh là 'Vịnh Hạ Long của Tây Nguyên'.",Đắk Nông
